i,d,F(d)
0,2.0,0.0
1,2.05,2.376425855513308E-4
2,2.07,4.752851711026616E-4
3,2.1,7.129277566539924E-4
4,2.1,9.505703422053232E-4
5,2.1,0.001188212927756654
6,2.13,0.0014258555133079848
7,2.15,0.0016634980988593155
8,2.17,0.0019011406844106464
9,2.17,0.0021387832699619773
10,2.17,0.002376425855513308
11,2.22,0.0026140684410646386
12,2.28,0.0028517110266159697
13,2.32,0.0030893536121673003
14,2.37,0.003326996197718631
15,2.37,0.003564638783269962
16,2.4,0.0038022813688212928
17,2.42,0.004039923954372623
18,2.47,0.0042775665399239545
19,2.48,0.004515209125475285
20,2.5,0.004752851711026616
21,2.5,0.004990494296577947
22,2.52,0.005228136882129277
23,2.53,0.005465779467680608
24,2.58,0.005703422053231939
25,2.6,0.00594106463878327
26,2.6,0.006178707224334601
27,2.62,0.006416349809885932
28,2.67,0.006653992395437262
29,2.68,0.006891634980988593
30,2.7,0.007129277566539924
31,2.73,0.007366920152091254
32,2.8,0.0076045627376425855
33,2.83,0.007842205323193916
34,2.85,0.008079847908745247
35,2.87,0.008317490494296578
36,2.87,0.008555133079847909
37,2.92,0.00879277566539924
38,2.95,0.00903041825095057
39,2.98,0.0092680608365019
40,3.0,0.009505703422053232
41,3.02,0.009743346007604563
42,3.02,0.009980988593155894
43,3.07,0.010218631178707225
44,3.12,0.010456273764258554
45,3.13,0.010693916349809885
46,3.17,0.010931558935361217
47,3.18,0.011169201520912548
48,3.2,0.011406844106463879
49,3.25,0.01164448669201521
50,3.27,0.01188212927756654
51,3.3,0.01211977186311787
52,3.3,0.012357414448669201
53,3.35,0.012595057034220532
54,3.4,0.012832699619771864
55,3.47,0.013070342205323195
56,3.47,0.013307984790874524
57,3.5,0.013545627376425855
58,3.5,0.013783269961977186
59,3.52,0.014020912547528517
60,3.53,0.014258555133079848
61,3.58,0.01449619771863118
62,3.58,0.014733840304182509
63,3.6,0.01497148288973384
64,3.6,0.015209125475285171
65,3.62,0.015446768060836502
66,3.67,0.01568441064638783
67,3.67,0.015922053231939164
68,3.67,0.016159695817490494
69,3.7,0.016397338403041826
70,3.77,0.016634980988593156
71,3.83,0.016872623574144485
72,3.83,0.017110266159695818
73,3.85,0.017347908745247147
74,3.87,0.01758555133079848
75,3.87,0.01782319391634981
76,3.88,0.01806083650190114
77,3.9,0.018298479087452472
78,3.92,0.0185361216730038
79,3.92,0.018773764258555134
80,3.93,0.019011406844106463
81,3.97,0.019249049429657796
82,4.03,0.019486692015209126
83,4.03,0.019724334600760455
84,4.1,0.019961977186311788
85,4.13,0.020199619771863117
86,4.25,0.02043726235741445
87,4.27,0.02067490494296578
88,4.3,0.02091254752851711
89,4.33,0.02115019011406844
90,4.37,0.02138783269961977
91,4.42,0.021625475285171104
92,4.47,0.021863117870722433
93,4.48,0.022100760456273766
94,4.5,0.022338403041825095
95,4.65,0.022576045627376425
96,4.67,0.022813688212927757
97,4.68,0.023051330798479087
98,4.78,0.02328897338403042
99,4.85,0.02352661596958175
100,4.85,0.02376425855513308
101,4.85,0.02400190114068441
